Year,Species,SpGroup,Catch/Capture(t)
1950,Narrow-barred Spanish mackerel,SEERFISH,603.475952148437
1950,Longtail tuna,TUNAS,517.271179199218
1950,Narrow-barred Spanish mackerel,SEERFISH,96.5240478515625
1950,Longtail tuna,TUNAS,82.7288208007812
1950,Narrow-barred Spanish mackerel,SEERFISH,0.0747582504274296
1950,Narrow-barred Spanish mackerel,SEERFISH,5.03190316420303
1950,Narrow-barred Spanish mackerel,SEERFISH,94.8933385853695
1950,Bigeye tuna,TUNAS,13.6109457015991
1950,Kawakawa,TUNAS,1.28517580032348
1950,Indo-Pacific sailfish,BILLFISH,5.64013338088989
1950,Skipjack tuna,TUNAS,20
1950,Swordfish,BILLFISH,13.0871257781982
1950,Yellowfin tuna,TUNAS,180
1950,Swordfish,BILLFISH,0.51607722043991
1950,Albacore,TUNAS,3.6179869097302
1950,Skipjack tuna,TUNAS,3.2761625033897
1950,Yellowfin tuna,TUNAS,67.1715390525959
1950,Albacore,TUNAS,2.3820130902698
1950,Skipjack tuna,TUNAS,11.7238374966103
1950,Yellowfin tuna,TUNAS,11.8284609474041
1950,Narrow-barred Spanish mackerel,SEERFISH,6.03251647949218
1950,Indo-Pacific king mackerel,SEERFISH,0.78586196899414
1950,Narrow-barred Spanish mackerel,SEERFISH,0.011684755794704
1950,Albacore,TUNAS,0.231242164969444
1950,Bigeye tuna,TUNAS,2.18666338920593
1950,Black Marlin,BILLFISH,1.09568762779235
1950,Bullet tuna,TUNAS,0.11739918589592
1950,Blue Marlin,BILLFISH,0.193736925721169
1950,Narrow-barred Spanish mackerel,SEERFISH,60.5082740783691
1950,Frigate tuna,TUNAS,13.5471420288085
1950,Indo-Pacific king mackerel,SEERFISH,29.6930656433105
1950,Kawakawa,TUNAS,18.6499805450439
1950,Longtail tuna,TUNAS,3.17018389701843
1950,Striped marlin,BILLFISH,0.706663131713867
1950,Indo-Pacific sailfish,BILLFISH,3.71811318397521
1950,Skipjack tuna,TUNAS,168.008407592773
1950,Swordfish,BILLFISH,0.584732413291931
1950,Yellowfin tuna,TUNAS,37.5003967285156
1950,Narrow-barred Spanish mackerel,SEERFISH,2.40432500839233
1950,Indo-Pacific king mackerel,SEERFISH,1.09389209747314
1950,Albacore,TUNAS,1.91438436508178
1950,Bigeye tuna,TUNAS,2.91255927085876
1950,Black Marlin,BILLFISH,0.836789011955261
1950,Bullet tuna,TUNAS,13.6202363967895
1950,Blue Marlin,BILLFISH,0.783001720905303
