Year,Catch/Capture(t)
01/01/1950,26118.69324
01/01/1951,27417.7474
01/01/1952,32261.64408
01/01/1953,42838.13402
01/01/1954,66440.01169
01/01/1955,95502.25153
01/01/1956,129719.0592
01/01/1957,103787.5047
01/01/1958,88507.00699
01/01/1959,133141.3001
01/01/1960,177452.9037
01/01/1961,174940.0943
01/01/1962,163973.6625
01/01/1963,155504.0647
01/01/1964,158744.0883
01/01/1965,160738.5799
01/01/1966,196892.0342
01/01/1967,217872.2282
01/01/1968,269230.4334
01/01/1969,234776.3288
01/01/1970,189928.3751
01/01/1971,181033.8219
01/01/1972,180022.132
01/01/1973,195785.7565
01/01/1974,241981.5109
01/01/1975,216318.896
01/01/1976,240395.4968
01/01/1977,260432.2338
01/01/1978,262449.9658
01/01/1979,249287.5132
01/01/1980,259237.4095
01/01/1981,269259.8875
01/01/1982,330597.7818
01/01/1983,340024.3999
01/01/1984,426799.3928
01/01/1985,486086.54
01/01/1986,542981.898
01/01/1987,601666.3746
01/01/1988,705566.4523
01/01/1989,718002.334
01/01/1990,741070.8248
01/01/1991,753637.7782
01/01/1992,862817.3986
01/01/1993,1004871.652
01/01/1994,1004430.81
01/01/1995,1053267.155
01/01/1996,1065212.673
01/01/1997,1098907.307
01/01/1998,1090680.845
01/01/1999,1238967.037
01/01/2000,1209464.576
01/01/2001,1170844.951
01/01/2002,1282100.927
01/01/2003,1374748.436
01/01/2004,1440768.777
01/01/2005,1536951.718
01/01/2006,1513231.024
01/01/2007,1301967.827
01/01/2008,1259027.671
01/01/2009,1229500.317
01/01/2010,1254180.415
01/01/2011,1280876.012
01/01/2012,1346542.375
01/01/2013,1419927.857
01/01/2014,1386291.96
01/01/2015,1340363.089
01/01/2016,1434917.652
01/01/2017,1471456.686
01/01/2018,1619223.325
01/01/2019,1551919.854
01/01/2020,1526226.632
